benchmark,model,router,sr,cvar_f,cost,llm_rate,ece,brier
HumanEval+,Gemma-7B,All features (full),0.919,0.081,16.34,0.005,0.0839,0.1233
HumanEval+,Gemma-7B,No entropy (trained),0.919,0.081,17.88,0.006,0.0819,0.1245
HumanEval+,Gemma-7B,Verifier pseudo-entropy (trained),0.919,0.081,19.13,0.007,0.1041,0.1264
HumanEval+,LLaMA-3.1-8B,All features (full),0.958,0.042,24.06,0.015,0.0389,0.1042
HumanEval+,LLaMA-3.1-8B,No entropy (trained),0.956,0.044,26.20,0.016,0.0412,0.1027
HumanEval+,LLaMA-3.1-8B,Verifier pseudo-entropy (trained),0.955,0.045,26.12,0.017,0.0351,0.1077
HumanEval+,Qwen-14B,All features (full),0.931,0.069,13.98,0.002,0.0568,0.1087
HumanEval+,Qwen-14B,No entropy (trained),0.935,0.065,14.72,0.003,0.0592,0.1090
HumanEval+,Qwen-14B,Verifier pseudo-entropy (trained),0.931,0.069,15.89,0.004,0.0515,0.1131
HumanEval+,Qwen-7B,All features (full),0.922,0.078,13.98,0.004,0.0890,0.1189
HumanEval+,Qwen-7B,No entropy (trained),0.925,0.075,15.01,0.004,0.0839,0.1180
HumanEval+,Qwen-7B,Verifier pseudo-entropy (trained),0.925,0.075,15.67,0.005,0.0903,0.1211
TextWorld,Gemma-7B,All features (full),1.000,0.000,412.09,0.383,0.0702,0.1151
TextWorld,Gemma-7B,No entropy (trained),1.000,0.000,409.77,0.365,0.0721,0.1175
TextWorld,Gemma-7B,Verifier pseudo-entropy (trained),1.000,0.000,423.65,0.403,0.0665,0.1178
TextWorld,LLaMA-3.1-8B,All features (full),1.000,0.000,467.23,0.488,0.0357,0.0945
TextWorld,LLaMA-3.1-8B,No entropy (trained),1.000,0.000,442.87,0.451,0.0357,0.1085
TextWorld,LLaMA-3.1-8B,Verifier pseudo-entropy (trained),1.000,0.000,471.49,0.529,0.0502,0.1124
TextWorld,Qwen-14B,All features (full),1.000,0.000,431.67,0.384,0.0559,0.0894
TextWorld,Qwen-14B,No entropy (trained),1.000,0.000,443.09,0.424,0.0535,0.0942
TextWorld,Qwen-14B,Verifier pseudo-entropy (trained),1.000,0.000,453.35,0.451,0.0551,0.0964
TextWorld,Qwen-7B,All features (full),1.000,0.000,429.50,0.412,0.0469,0.1103
TextWorld,Qwen-7B,No entropy (trained),1.000,0.000,424.15,0.398,0.0466,0.1131
TextWorld,Qwen-7B,Verifier pseudo-entropy (trained),1.000,0.000,430.44,0.420,0.0494,0.1130
